,gene_ids,feature_types,genome,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,highly_variable,means,dispersions,dispersions_norm
PHF13,ENSG00000116273,Gene Expression,GRCh38,False,483,0.22217853,0.20063496,81.00668501769563,565.0,6.338594,483,False,0.17335841521211828,0.0995040630134279,0.16832735
THAP3,ENSG00000041988,Gene Expression,GRCh38,False,286,0.12033032,0.11362357,88.75344081793158,306.0,5.7268476,285,False,0.09846297398190493,0.02519736159933338,-0.29645258
DNAJC11,ENSG00000007923,Gene Expression,GRCh38,False,249,0.10342116,0.0984155,90.2084152575698,263.0,5.575949,248,False,0.0849621070511661,0.00031365275786308916,-0.45209733
CAMTA1,ENSG00000171735,Gene Expression,GRCh38,False,996,0.510814,0.4126486,60.833661030279195,1299.0,7.17012,993,False,0.3853609087703411,0.12316073665840624,0.1114725
VAMP3,ENSG00000049245,Gene Expression,GRCh38,False,1092,0.6083366,0.4752005,57.05859221392057,1547.0,7.344719,1092,False,0.4210663461325708,0.023417135366298844,-0.4632315
PER3,ENSG00000049246,Gene Expression,GRCh38,False,694,0.31262287,0.27202734,72.70939834840739,795.0,6.6795993,692,False,0.2719289093652279,0.12471139690495683,0.121875785
UTS2,ENSG00000049247,Gene Expression,GRCh38,False,14,0.005898545,0.005881217,99.4494691309477,15.0,2.7725887,14,False,0.0036342509250194464,-0.1313298573010122,-1.2755125
PARK7,ENSG00000116288,Gene Expression,GRCh38,False,2091,2.1317341,1.1415869,17.77428234368855,5421.0,8.59822,2089,False,1.0402176968649477,0.0537978022485168,-0.9742191
ERRFI1,ENSG00000116285,Gene Expression,GRCh38,False,1479,1.2607157,0.81568146,41.84034604797483,3206.0,8.0730915,1477,False,0.6795387509252472,0.2692138254608875,0.347347
SLC45A1,ENSG00000162426,Gene Expression,GRCh38,False,107,0.04286276,0.041969586,95.79237121510027,109.0,4.7004805,106,False,0.03526607765828641,-0.0629932777193935,-0.8480749
RERE,ENSG00000142599,Gene Expression,GRCh38,False,2026,1.9331498,1.0760769,20.33031852143138,4916.0,8.500454,2022,False,0.979449483778472,0.09610669151426147,-0.5023318
ENO1,ENSG00000074800,Gene Expression,GRCh38,False,1836,1.5163193,0.9227972,27.801808887141178,3856.0,8.257645,1834,False,0.8434693340233628,0.09871351456538008,-0.49213266
SLC2A5,ENSG00000142583,Gene Expression,GRCh38,False,212,0.09752261,0.093055464,91.66338969720802,248.0,5.5174527,210,False,0.07381163658000328,0.06948017791267207,-0.019468617
GPR157,ENSG00000180758,Gene Expression,GRCh38,False,206,0.09005112,0.08622459,91.89933149823044,229.0,5.4380794,204,False,0.0712167369172401,0.0625426917526455,-0.0628618
H6PD,ENSG00000049239,Gene Expression,GRCh38,False,750,0.38458514,0.32540056,70.5072748721982,978.0,6.886532,747,False,0.28229809064000766,0.11325387339235239,0.045007978
SPSB1,ENSG00000171621,Gene Expression,GRCh38,False,1062,0.6047975,0.47299758,58.23830121903264,1538.0,7.338888,1061,False,0.4258234827513477,0.14857940672282613,0.04179657
SLC25A33,ENSG00000171612,Gene Expression,GRCh38,False,49,0.020055054,0.0198566,98.07314195831694,51.0,3.9512436,48,False,0.013091410882480291,-0.17254629160765725,-1.5333165
TMEM201,ENSG00000188807,Gene Expression,GRCh38,False,214,0.08965789,0.085863784,91.58474243020055,228.0,5.433722,212,False,0.07325772295102076,0.058358696918309735,-0.08903221
PIK3CD,ENSG00000171608,Gene Expression,GRCh38,False,176,0.07392843,0.07132336,93.0790405033425,188.0,5.241747,175,False,0.060245935845883794,0.04723826577448979,-0.15858923
CLSTN1,ENSG00000171603,Gene Expression,GRCh38,False,1452,1.0688163,0.72697663,42.9020841525757,2718.0,7.9080195,1450,False,0.6132428744330398,0.03723553969375052,-0.6390454
CTNNBIP1,ENSG00000178585,Gene Expression,GRCh38,False,929,0.495871,0.40270865,63.46834447502949,1261.0,7.140453,926,False,0.345736008186037,0.08380461940007744,-0.15256523
LZIC,ENSG00000162441,Gene Expression,GRCh38,False,1176,0.6763665,0.5166287,53.75540699960677,1720.0,7.4506607,1173,False,0.47668882959757114,0.16168386143146943,0.094672866
NMNAT1,ENSG00000173614,Gene Expression,GRCh38,False,200,0.080220215,0.077164926,92.13527329925284,204.0,5.32301,200,False,0.07100778172601661,0.08926516740096463,0.10428423
RBP7,ENSG00000162444,Gene Expression,GRCh38,False,217,0.0951632,0.09090339,91.46677152968934,242.0,5.4930615,217,False,0.07522063313263214,0.07026070911543962,-0.014586484
UBE4B,ENSG00000130939,Gene Expression,GRCh38,False,938,0.48682657,0.39664403,63.11443177349587,1238.0,7.12206,936,False,0.354205799120918,0.06261709594693868,-0.294711
KIF1B,ENSG00000054523,Gene Expression,GRCh38,False,1345,0.80495477,0.5905355,47.10971293747542,2047.0,7.624619,1343,False,0.5374861347934324,0.08654390324801538,-0.20851584
PGD,ENSG00000142657,Gene Expression,GRCh38,False,801,0.4341329,0.36056042,68.50176956350766,1104.0,7.007601,799,False,0.2974974647872796,0.11927900786089257,0.08543023
CENPS,ENSG00000175279,Gene Expression,GRCh38,False,240,0.10224145,0.097345784,90.56232795910341,260.0,5.5645204,239,False,0.08312146876134162,0.07243215955534744,-0.0010043095
CORT,ENSG00000241563,Gene Expression,GRCh38,False,29,0.011403854,0.01133932,98.85961462839167,29.0,3.4011974,29,False,0.008824600521450432,-0.06983040164728917,-0.89084035
DFFA,ENSG00000160049,Gene Expression,GRCh38,False,781,0.4007078,0.3369777,69.28824223358238,1019.0,6.927558,779,False,0.2904988306277009,0.0856075861356387,-0.14046924
PEX14,ENSG00000142655,Gene Expression,GRCh38,False,464,0.2088085,0.18963516,81.75383405426662,531.0,6.2766433,464,False,0.1704513794434291,0.06840647019332866,-0.026184537
CASZ1,ENSG00000130940,Gene Expression,GRCh38,False,897,0.4990169,0.4048095,64.72670074714904,1269.0,7.1467724,895,False,0.3398486139422518,0.10016657148888752,-0.04279391
SRM,ENSG00000116649,Gene Expression,GRCh38,False,686,0.32284704,0.27978626,73.02398741643728,821.0,6.7117405,683,False,0.25777892062408725,0.056613320369045886,-0.33498996
EXOSC10,ENSG00000171824,Gene Expression,GRCh38,False,720,0.35312623,0.30241764,71.68698387731027,898.0,6.801283,718,False,0.2695574538122726,0.09879567062179763,-0.051991202
MTOR,ENSG00000198793,Gene Expression,GRCh38,False,577,0.26464805,0.23479386,77.31026346834447,673.0,6.5132303,576,False,0.2070807037356251,0.0530380553375713,-0.3589762
ANGPTL7,ENSG00000171819,Gene Expression,GRCh38,False,156,0.08415258,0.08079865,93.86551317341723,214.0,5.370638,156,True,0.06646597031266158,0.3381253305662813,1.6608762
UBIAD1,ENSG00000120942,Gene Expression,GRCh38,False,322,0.13802595,0.12929514,87.3377900117971,351.0,5.8636312,321,False,0.10740715750661282,0.0029565455164394703,-0.43556634
FBXO2,ENSG00000116661,Gene Expression,GRCh38,False,270,0.1136453,0.10763869,89.38261895399134,289.0,5.669881,270,False,0.08687671720568063,-0.04225329295108051,-0.7183487
FBXO44,ENSG00000132879,Gene Expression,GRCh38,False,767,0.3896972,0.3290859,69.83877310263469,991.0,6.899723,766,False,0.28670958223307114,0.10946527386348452,0.0195905
FBXO6,ENSG00000116663,Gene Expression,GRCh38,False,115,0.04718836,0.04610882,95.47778214707039,120.0,4.7957907,115,True,0.04276075290575382,0.16711397014229884,0.5912196
MAD2L2,ENSG00000116670,Gene Expression,GRCh38,False,240,0.10106174,0.096274935,90.56232795910341,257.0,5.5529594,239,False,0.08043473807868505,0.05217374239751475,-0.12771839
AGTRAP,ENSG00000177674,Gene Expression,GRCh38,False,369,0.179709,0.1652678,85.4895792371215,457.0,6.126869,368,False,0.12679568332637348,0.045012765366133994,-0.17250949
MTHFR,ENSG00000177000,Gene Expression,GRCh38,False,60,0.023987416,0.023704238,97.64058198977585,61.0,4.1271343,60,False,0.020701243991297906,0.07832630001296051,0.035862867
CLCN6,ENSG00000011021,Gene Expression,GRCh38,False,283,0.11718443,0.11081162,88.87141171844279,298.0,5.7004437,282,False,0.09642453102815966,0.007610519167615028,-0.40645626
PLOD1,ENSG00000083444,Gene Expression,GRCh38,False,395,0.17499016,0.16125977,84.46716476602438,445.0,6.100319,394,False,0.14337981949790476,0.05573146082048196,-0.10546527
MFN2,ENSG00000116688,Gene Expression,GRCh38,False,1218,0.6602438,0.50696445,52.10381439244986,1679.0,7.426549,1214,False,0.4866008715913312,0.16467775177981894,0.10675317
MIIP,ENSG00000116691,Gene Expression,GRCh38,False,418,0.18560755,0.17025535,83.56272119543846,472.0,6.1590953,416,False,0.1538725006842823,0.11935582536872762,0.29249784
TNFRSF1B,ENSG00000028137,Gene Expression,GRCh38,False,297,0.13134094,0.1234036,88.32088084939048,334.0,5.8141303,297,False,0.1097673295985497,0.09334577091585984,0.12980793
VPS13D,ENSG00000048707,Gene Expression,GRCh38,False,971,0.5536768,0.44062424,61.81675186787259,1408.0,7.2506356,968,False,0.37994268822338206,0.13428095996310555,0.18607739
DHRS3,ENSG00000162496,Gene Expression,GRCh38,False,1849,1.7974833,1.0287203,27.290601651592606,4571.0,8.427706,1847,False,0.9079853584343434,0.26754020526573496,0.16839854
HNRNPCL1,ENSG00000179172,Gene Expression,GRCh38,False,54,0.022807708,0.022551501,97.87652379079827,58.0,4.0775375,54,False,0.019196111459469114,0.11060753956640718,0.23777832
PDPN,ENSG00000162493,Gene Expression,GRCh38,False,462,0.21352734,0.19353127,81.83248132127409,543.0,6.2989492,460,False,0.16667802636135645,0.10607010496626439,0.2093972
PRDM2,ENSG00000116731,Gene Expression,GRCh38,False,1117,0.62288636,0.48420626,56.075501376327175,1584.0,7.3683395,1115,False,0.43663602206474583,0.12550626797848494,-0.05130323
KAZN,ENSG00000189337,Gene Expression,GRCh38,False,269,0.112858824,0.10693222,89.42194258749508,287.0,5.6629605,268,False,0.0964881793117444,0.06948083463516833,-0.01946451
TMEM51,ENSG00000171729,Gene Expression,GRCh38,False,277,0.117577665,0.11116354,89.10735351946519,299.0,5.7037826,277,False,0.09996065680358134,0.0732521389449585,0.004124568
FHAD1,ENSG00000142621,Gene Expression,GRCh38,False,34,0.013763271,0.013669417,98.66299646087299,35.0,3.583519,34,False,0.01369284070181909,0.14947083596584942,0.4808638
EFHD2,ENSG00000142634,Gene Expression,GRCh38,False,945,0.54030675,0.4319816,62.83916633896972,1374.0,7.226209,943,False,0.35459670158642786,0.00255042721339986,-0.69769454
CASP9,ENSG00000132906,Gene Expression,GRCh38,False,480,0.21706645,0.19644341,81.12465591820684,552.0,6.315358,480,False,0.17117976551268835,0.045874949327282,-0.16711663
DNAJC16,ENSG00000116138,Gene Expression,GRCh38,False,307,0.13605978,0.12756594,87.92764451435313,346.0,5.8493247,305,False,0.10622804856696702,0.0563440064895032,-0.10163387
AGMAT,ENSG00000116771,Gene Expression,GRCh38,False,17,0.0066850176,0.006662772,99.3314982304365,17.0,2.8903718,17,False,0.004773905947220991,-0.036941465488328655,-0.6851238
DDI2,ENSG00000197312,Gene Expression,GRCh38,False,655,0.32206056,0.27919155,74.2430200550531,819.0,6.7093043,653,False,0.22768696631757884,0.02461976711884432,-0.5496327
PLEKHM2,ENSG00000116786,Gene Expression,GRCh38,False,669,0.32088086,0.27829883,73.69248918600078,816.0,6.705639,667,False,0.24222627447539297,0.02470023749871295,-0.5490928
SLC25A34,ENSG00000162461,Gene Expression,GRCh38,False,25,0.009830908,0.009782899,99.0169091624066,25.0,3.2580965,24,False,0.007534911532795919,0.1238930149223088,0.32087746
FBLIM1,ENSG00000162458,Gene Expression,GRCh38,False,1145,0.64962643,0.50054884,54.97443963822257,1652.0,7.410347,1144,False,0.46708903076087244,0.1987263573891596,0.24413884
UQCRHL,ENSG00000233954,Gene Expression,GRCh38,False,46,0.018875344,0.018699415,98.19111285882815,48.0,3.8918202,46,False,0.016813402389147254,0.09687584073058933,0.15188812
SPEN,ENSG00000065526,Gene Expression,GRCh38,False,642,0.32009438,0.27770323,74.75422729060165,814.0,6.703188,640,False,0.2357220045344011,0.0806016915954539,-0.17405348
ZBTB17,ENSG00000116809,Gene Expression,GRCh38,False,486,0.22217853,0.20063496,80.88871411718442,565.0,6.338594,485,False,0.17756008540913418,0.06053693210253042,-0.075407594
HSPB7,ENSG00000173641,Gene Expression,GRCh38,False,551,0.26386157,0.23417176,78.33267793944161,671.0,6.510258,551,True,0.2286336062993376,0.29760596518618726,1.2818147
CLCNKA,ENSG00000186510,Gene Expression,GRCh38,False,28,0.011010617,0.0109504415,98.8989382618954,28.0,3.3672957,28,True,0.011443616480821227,0.24978769809162996,1.1083343
EPHA2,ENSG00000142627,Gene Expression,GRCh38,False,248,0.107353516,0.101972945,90.24773889107354,273.0,5.613128,247,False,0.08453298826490563,0.024925069339865265,-0.29815573
ARHGEF19,ENSG00000142632,Gene Expression,GRCh38,False,81,0.034998033,0.034399528,96.8147856861974,89.0,4.4998097,81,False,0.023388939683730205,-0.030894391110578644,-0.64730006
CPLANE2,ENSG00000132881,Gene Expression,GRCh38,False,150,0.060558397,0.05879556,94.10145497443963,154.0,5.043425,149,False,0.049405080268333415,0.007077969372832874,-0.4097873
FBXO42,ENSG00000037637,Gene Expression,GRCh38,False,876,0.44750294,0.36983997,65.55249705072748,1138.0,7.037906,874,False,0.32268638967276914,0.06539862554943644,-0.27604988
SZRD1,ENSG00000055070,Gene Expression,GRCh38,False,1332,0.82854897,0.6035227,47.62092017302398,2107.0,7.653495,1330,False,0.5440713422308047,0.12851960007358365,-0.03914448
NECAP2,ENSG00000157191,Gene Expression,GRCh38,False,516,0.24066064,0.21564402,79.70900511207235,612.0,6.418365,516,False,0.17832536688431153,0.01831853311115686,-0.33947885
NBPF1,ENSG00000219481,Gene Expression,GRCh38,False,221,0.091624066,0.087666556,91.3094769956744,233.0,5.4553213,219,False,0.07823611440245808,0.14752463314886896,0.4686905
CROCC,ENSG00000058453,Gene Expression,GRCh38,False,82,0.03342509,0.032878615,96.77546205269367,85.0,4.454347,82,False,0.02687725149496128,0.013020237716886254,-0.3726191
